processo,data_movimento_incompetencia,classe_codigo,classe_nome,data_ajuizamento,orgao_julgador_codigo,orgao_julgador_nome,ano_ajuizamento,mes_ajuizamento,municipio_nome,status_arquivamento_definitivo
00093586520248160021,2024-08-22T17:28:17Z,111,Habilitação de Crédito,2024-03-12T14:26:07Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00093770320258160194,2025-09-12T13:24:15Z,129,Recuperação Judicial,2025-06-03T17:42:51Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-06-01T00:00:00Z,Curitiba,TRUE
00095009720248160044,2025-01-30T10:35:20Z,114,Impugnação de Crédito,2024-08-09T18:50:09Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-08-01T00:00:00Z,Londrina,TRUE
00095128320248160021,2024-07-26T17:39:30Z,111,Habilitação de Crédito,2024-03-12T17:21:59Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00095242820248160044,2025-01-27T17:20:36Z,111,Habilitação de Crédito,2024-08-14T12:18:12Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-08-01T00:00:00Z,Londrina,FALSE
00095396620248160021,2024-07-26T17:39:30Z,111,Habilitação de Crédito,2024-03-13T11:05:29Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,FALSE
00099683320248160021,2024-04-22T17:47:15Z,111,Habilitação de Crédito,2024-03-15T12:54:47Z,8844,CASCAVEL - 2ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00100295420258160021,2026-01-13T14:39:52Z,111,Habilitação de Crédito,2025-02-11T11:26:40Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2025,2025-02-01T00:00:00Z,Curitiba,TRUE
00101123620248160173,2024-11-18T16:15:56Z,111,Habilitação de Crédito,2024-08-05T09:50:46Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-08-01T00:00:00Z,Maringá,FALSE
00102377220248160021,2024-07-23T17:42:11Z,111,Habilitação de Crédito,2024-03-18T16:55:56Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00102411620258160170,2025-07-25T23:42:14Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07-24T20:23:30Z,13752,CASCAVEL - 4ª VARA CÍVEL,2025,2025-07-01T00:00:00Z,Cascavel,FALSE
00104050520248160044,2025-01-27T17:21:11Z,111,Habilitação de Crédito,2024-09-02T13:47:11Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-09-01T00:00:00Z,Londrina,FALSE
00105806820248160021,2024-07-01T14:35:52Z,111,Habilitação de Crédito,2024-03-19T15:56:22Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00106311120248160173,2024-10-28T18:10:55Z,111,Habilitação de Crédito,2024-08-14T16:34:23Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-08-01T00:00:00Z,Curitiba,FALSE
00106675220248160044,2025-01-27T13:08:31Z,111,Habilitação de Crédito,2024-09-05T16:55:41Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-09-01T00:00:00Z,Londrina,FALSE
00107844420248160173,2024-10-02T14:09:05Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08-19T16:06:34Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-08-01T00:00:00Z,Maringá,FALSE
00109593720248160044,2025-04-30T16:48:52Z,114,Impugnação de Crédito,2024-05-23T10:43:24Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-05-01T00:00:00Z,Londrina,TRUE
00115899320248160044,2025-01-27T17:21:06Z,111,Habilitação de Crédito,2024-09-25T11:42:30Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-09-01T00:00:00Z,Londrina,FALSE
00117137620248160044,2025-01-14T18:28:28Z,111,Habilitação de Crédito,2024-09-27T10:53:42Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-09-01T00:00:00Z,Londrina,TRUE
00119934420248160045,2024-09-10T18:18:27Z,111,Habilitação de Crédito,2024-09-09T16:53:31Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-09-01T00:00:00Z,Londrina,FALSE
